interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2006_07,1082,44,1.15909090909091,1,1,1,1,1.7,3,3,0.886363636363636,0.0681818181818182,0.0454545454545455,0,0,0.113636363636364
interval_2006_07,1081,44,1.15909090909091,1,1,1,1,2,2,2,0.840909090909091,0.159090909090909,0,0,0,0.159090909090909
interval_2006_07,2399,43,1.13953488372093,1,1,1,1,1,3.16,4,0.906976744186047,0.0697674418604651,0.0232558139534884,0,0,0.0930232558139535
interval_2006_07,2365,42,1.30952380952381,1,1,1,2,2,2.59,3,0.714285714285714,0.261904761904762,0.0238095238095238,0,0,0.285714285714286
interval_2006_07,2444,42,1.28571428571429,1,1,1,1,2,3.59,4,0.80952380952381,0.119047619047619,0.0714285714285714,0,0,0.19047619047619
interval_2006_07,2120,41,1.41463414634146,1,1,1,1,2,5,5,0.829268292682927,0.0731707317073171,0.0975609756097561,0,0,0.170731707317073
interval_2006_07,2442,41,1.17073170731707,1,1,1,1,2,2.6,3,0.853658536585366,0.121951219512195,0.024390243902439,0,0,0.146341463414634
interval_2006_07,2314,40,1.1,1,1,1,1,1.1,2,2,0.9,0.1,0,0,0,0.1
interval_2006_07,1320,40,1.4,1,1,1,2,2,3,3,0.675,0.25,0.075,0,0,0.325
interval_2006_07,1041,39,1.15384615384615,1,1,1,1,1.2,3,3,0.897435897435897,0.0512820512820513,0.0512820512820513,0,0,0.102564102564103
interval_2006_07,2434,39,1.02564102564103,1,1,1,1,1,1.62,2,0.974358974358974,0.0256410256410256,0,0,0,0.0256410256410256
interval_2006_07,1051,38,2.26315789473684,1,1,1,3,5,5.63,6,0.526315789473684,0.105263157894737,0.342105263157895,0.0263157894736842,0,0.473684210526316
interval_2006_07,1610,37,1.24324324324324,1,1,1,1,2,3.64,4,0.837837837837838,0.108108108108108,0.0540540540540541,0,0,0.162162162162162
interval_2006_07,5210,33,1.51515151515152,1,1,1,2,3,3,3,0.666666666666667,0.151515151515152,0.181818181818182,0,0,0.333333333333333
interval_2006_07,1089,31,1.2258064516129,1,1,1,1,2,2,2,0.774193548387097,0.225806451612903,0,0,0,0.225806451612903
interval_2006_07,1031,30,1.5,1,1,1,2,3,3,3,0.633333333333333,0.233333333333333,0.133333333333333,0,0,0.366666666666667
interval_2006_07,2017,30,1.06666666666667,1,1,1,1,1,2,2,0.933333333333333,0.0666666666666667,0,0,0,0.0666666666666667
interval_2006_07,2311,26,1.19230769230769,1,1,1,1,2,2,2,0.807692307692308,0.192307692307692,0,0,0,0.192307692307692
interval_2006_07,2830,25,1.04,1,1,1,1,1,1.76,2,0.96,0.04,0,0,0,0.04
interval_2006_07,3311,24,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2006_07,3030,23,1.8695652173913,1,1,2,2,3,4.78,5,0.478260869565217,0.304347826086957,0.217391304347826,0,0,0.521739130434783
interval_2006_07,2363,23,1.1304347826087,1,1,1,1,1.8,2,2,0.869565217391304,0.130434782608696,0,0,0,0.130434782608696
interval_2006_07,1039,23,1.08695652173913,1,1,1,1,1,2,2,0.91304347826087,0.0869565217391304,0,0,0,0.0869565217391304
interval_2006_07,1330,22,1.09090909090909,1,1,1,1,1,2,2,0.909090909090909,0.0909090909090909,0,0,0,0.0909090909090909
interval_2006_07,1083,22,1.18181818181818,1,1,1,1,2,2,2,0.818181818181818,0.181818181818182,0,0,0,0.181818181818182
interval_2006_07,2599,20,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2006_07,1072,20,1.35,1,1,1,1.25,2.1,3,3,0.75,0.15,0.1,0,0,0.25
interval_2006_07,1722,19,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2006_07,1013,18,1.16666666666667,1,1,1,1,2,2,2,0.833333333333333,0.166666666666667,0,0,0,0.166666666666667
interval_2006_07,2894,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2006_07,2060,17,1.11764705882353,1,1,1,1,1.4,2,2,0.882352941176471,0.117647058823529,0,0,0,0.117647058823529
interval_2006_07,2362,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2006_07,2313,16,1.125,1,1,1,1,1.5,2,2,0.875,0.125,0,0,0,0.125
interval_2006_07,2540,15,1.2,1,1,1,1,1.6,2.86,3,0.866666666666667,0.0666666666666667,0.0666666666666667,0,0,0.133333333333333
interval_2006_07,2932,13,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2006_07,1106,13,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2006_07,2020,11,1,1,1,1,1,1,1,1,1,0,0,0,0,0
