buyer,seller_nace4d,top_supplier,omega_top,bot_supplier,omega_bot,omega_gap,int_nace4d_spend,sum_buyer_tc,n_yr,nace4d_input_share,version,treat_year,topQ_nace4dshare,topQ_omegagap
D193416DEB34E1578D0A23E29F20CB48235445F4A97ECC8949D32443A6A885F7,2365,67863B92FB29A53B4F85034E41DF069DCCE2E96E963396F391424D73021DCAC2,0.000208018857469999,3D49588D1918DFA4568937AEB2822B4167C073A07CB931AAE68628147C44CAE7,0,0.000208018857469999,47284.03,7687364,2,0.0061508769455954,treat_2017,2017,FALSE,TRUE
D243CECDEEFA2919B92BD39968D14E611E237E1E40004805ED73FBEE04C6C9C0,4211,A20718A1C5EDE23DDA5E6320129C83E1683DE48F1D318858856BE325EEE823C1,5.55692076673613e-05,ADFF18A56167B77F87D8DF548BEF8C5F4AD4A774572E8E8D206E19659C2B9246,3.13552464943978e-05,2.42139611729635e-05,1591117.62,155775170,1,0.0102141928010735,treat_2017,2017,FALSE,FALSE
D24CFD4E4D07CA02994732D641C177D71F3ABA14D8EBD52CB9EAC7C559942972,2332,DFE84999859FA7A6205AF0220585AD1C09A9628C9E358622CBCEA2E6DACBBBF1,0.000395010468796854,AFD6645D8C4689DFF6BEA9448876413C4FD2178F8DE61A89093743C24C272679,0,0.000395010468796854,3310521.88,18407234,2,0.179848959381947,treat_2017,2017,TRUE,TRUE
D24CFD4E4D07CA02994732D641C177D71F3ABA14D8EBD52CB9EAC7C559942972,2351,B8FDF1A99C14812F711B9B01A2C27EC7B85C6A71A20AB98121F00747A42E5B58,0.000103038803811996,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,0,0.000103038803811996,315156.97,18407234,2,0.0171213648938238,treat_2017,2017,FALSE,FALSE
D24CFD4E4D07CA02994732D641C177D71F3ABA14D8EBD52CB9EAC7C559942972,2365,1699301EC2767FC1FF82337B41AE8E16B093A1C04259532BBCCFCBA1D82BA80F,2.1864947544599e-05,3D49588D1918DFA4568937AEB2822B4167C073A07CB931AAE68628147C44CAE7,0,2.1864947544599e-05,109171.51,18407234,2,0.00593090249192247,treat_2017,2017,FALSE,FALSE
D2E36629C57DE7C3DE50105733271BC0699A14DC45E956E39883988835BB92F2,2014,7C0333AE08168E97C1DD68D98B8051A5C5C90D18245B4988A49F08062BC40274,0.000236105080801893,85824767204C92DFB37F36B5D9087A92328BD6A0092228B0AB8B89C227C24614,0,0.000236105080801893,28211.02,181324050,2,0.000155583443012662,treat_2017,2017,FALSE,TRUE
D2E36629C57DE7C3DE50105733271BC0699A14DC45E956E39883988835BB92F2,2351,B8FDF1A99C14812F711B9B01A2C27EC7B85C6A71A20AB98121F00747A42E5B58,0.000103038803811996,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,0,0.000103038803811996,3089608.7,181324050,2,0.0170391555891235,treat_2017,2017,FALSE,FALSE
D2E36629C57DE7C3DE50105733271BC0699A14DC45E956E39883988835BB92F2,2399,556F325F89BA24B47694660DC89436EC50E9D389F7BAA17D07992B6F91C354CB,0.000702850518421449,6F4F34531538E252D3211A55D02B168CB91CBC9221FA038D0D1B034D977BEF84,0,0.000702850518421449,7975190.65,181324050,2,0.0439830824978816,treat_2017,2017,TRUE,TRUE
D2E36629C57DE7C3DE50105733271BC0699A14DC45E956E39883988835BB92F2,4211,81A56728305B23CED4271E85C1C3CCF6F2680AF5231CABD61B3434FC40D6896D,4.09771610086498e-05,CC17A49A3D2D52F3D8C1CEB869CCA5096C549CFAE3A0D6CB09EA694C2F81F81F,0,4.09771610086498e-05,1193402.4,181324050,2,0.00658160017934742,treat_2017,2017,FALSE,FALSE
D2E36629C57DE7C3DE50105733271BC0699A14DC45E956E39883988835BB92F2,4673,2EDB84F873D1720009F7FE2B6EBFA04329C6829EDFD154525B24987A3D52E2AD,6.28853635044987e-05,307B7F85CAC1DDA1F33E173727E21FF0DE433CA675E63EFD0668D9DC7A943C36,0,6.28853635044987e-05,504796.4,181324050,2,0.0027839462001869,treat_2017,2017,FALSE,FALSE
D2EEAED8D0666B892B32F9E6C9A57311D20694FB9900400C020B25245005F6EA,2351,B8FDF1A99C14812F711B9B01A2C27EC7B85C6A71A20AB98121F00747A42E5B58,0.000103038803811996,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,0,0.000103038803811996,106814.94,22288703,2,0.00479233538174025,treat_2017,2017,FALSE,FALSE
D3B615A03010104B09E4C88B29B0A80A823664C2897B33D069EBA714719DF84B,1031,A1E9FE762ACC4DE886908DD38F550AAC93E153911553A0EE13701CA7E35CD778,4.98470511558588e-05,781DDBF220914771C108CE716159C411A65053A91F89898E330CB0229771CCE6,0,4.98470511558588e-05,916191.07,282474419,2,0.00324344793147446,treat_2017,2017,FALSE,FALSE
D3B615A03010104B09E4C88B29B0A80A823664C2897B33D069EBA714719DF84B,1051,1FF4BE36DA23ED1089F771723A6F25ACE00CFA2E444FBEB5B9881B54FB91D596,6.27713380370904e-05,2EA5AB1710B2C07A0559C4D607230AEE3A896C7A33156792015D2C79268E4D7A,0,6.27713380370904e-05,4214514.78,282474419,2,0.0149199874272509,treat_2017,2017,FALSE,FALSE
