interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2011_12,4646,18568,5.16668461869884,1,1,1,3,20,33,184,0.616598448944421,0.097425678586816,0.0774450667815597,0.0442158552348126,0.164314950452391,0.38340155105558
interval_2011_12,3312,15924,1.65969605626727,1,1,1,2,3,9,42,0.712509419743783,0.154797789500126,0.102235619191158,0.0241145440844009,0.00634262748053253,0.287490580256217
interval_2011_12,1392,15747,1.39969518003429,1,1,1,1,2,6,18,0.778243474947609,0.140280688385089,0.0692195338794691,0.0108592112783387,0.00139709150949387,0.221756525052391
interval_2011_12,1107,15249,1.13732048003148,1,1,1,1,2,3,9,0.887205718407764,0.0984326841104335,0.013509082562791,0.000852514919011083,0,0.112794281592236
interval_2011_12,2599,14856,1.35379644588045,1,1,1,1,2,5,18,0.766087775982768,0.167743672590199,0.0590333871836295,0.00652934841141626,0.000605815831987076,0.233912224017232
interval_2011_12,2363,14592,2.36698190789474,1,1,1,3,5,15,56,0.559964364035088,0.182223135964912,0.174205043859649,0.0593475877192982,0.0242598684210526,0.440035635964912
interval_2011_12,4211,12869,2.38969616908851,1,1,1,2,4,22,132,0.665008936203279,0.151915455746367,0.107234439350377,0.0406402983914834,0.0352008703084933,0.334991063796721
interval_2011_12,2229,12721,1.51112333936011,1,1,1,2,3,6,20,0.721169719361685,0.168618819275214,0.094489426931845,0.0135995597830359,0.00212247464821948,0.278830280638315
interval_2011_12,7010,12667,1.21970474461198,1,1,1,1,2,4,14,0.850635509591853,0.108076103260441,0.0378147943475172,0.00331570221836267,0.000157890581826794,0.149364490408147
interval_2011_12,6311,12613,1.20463014350274,1,1,1,1,2,4,15,0.860857845080473,0.101641163878538,0.0344882264330453,0.00277491477047491,0.000237849837469278,0.139142154919527
interval_2011_12,2361,12245,2.93948550428746,1,1,1,3,6,23,50,0.565536953858718,0.160963658636178,0.153532053899551,0.0651694569211923,0.054797876684361,0.434463046141282
interval_2011_12,2561,11349,2.01295268305578,1,1,1,2,4,10,32,0.602872499779716,0.178165477134549,0.161071460040532,0.0503128028901225,0.00757776015507974,0.397127500220284
interval_2011_12,1920,10593,1.03001982441235,1,1,1,1,1,2,4,0.972812234494478,0.0245445105258189,0.00264325497970358,0,0,0.0271877655055225
